row_index,edit_distance,true_length,PER,model
0,132,732,0.18032786885245902,GRU (baseline)
1,153,916,0.16703056768558952,GRU (baseline)
2,151,967,0.15615305067218202,GRU (baseline)
3,113,505,0.22376237623762377,GRU (baseline)
4,177,484,0.365702479338843,GRU (baseline)
5,158,933,0.16934619506966775,GRU (baseline)
6,165,659,0.2503793626707132,GRU (baseline)
7,69,628,0.10987261146496816,GRU (baseline)
8,167,1218,0.13711001642036125,GRU (baseline)
9,209,1201,0.1740216486261449,GRU (baseline)
10,75,707,0.10608203677510608,GRU (baseline)
11,137,589,0.23259762308998302,GRU (baseline)
12,182,1047,0.17382999044890163,GRU (baseline)
13,182,1181,0.15410668924640136,GRU (baseline)
14,45,227,0.19823788546255505,GRU (baseline)
15,91,685,0.13284671532846715,GRU (baseline)
16,222,1132,0.196113074204947,GRU (baseline)
17,4,213,0.018779342723004695,GRU (baseline)
18,9,475,0.018947368421052633,GRU (baseline)
19,10,371,0.026954177897574125,GRU (baseline)
20,76,1102,0.06896551724137931,GRU (baseline)
21,50,740,0.06756756756756757,GRU (baseline)
22,76,1169,0.06501283147989735,GRU (baseline)
23,26,593,0.04384485666104553,GRU (baseline)
24,75,729,0.102880658436214,GRU (baseline)
25,109,1124,0.09697508896797152,GRU (baseline)
26,67,548,0.12226277372262774,GRU (baseline)
27,122,542,0.22509225092250923,GRU (baseline)
28,258,1237,0.2085691188358933,GRU (baseline)
29,125,1098,0.11384335154826958,GRU (baseline)
30,96,517,0.18568665377176016,GRU (baseline)
31,71,483,0.14699792960662525,GRU (baseline)
32,300,1167,0.2570694087403599,GRU (baseline)
33,95,1105,0.08597285067873303,GRU (baseline)
34,127,1055,0.12037914691943127,GRU (baseline)
35,201,553,0.36347197106690776,GRU (baseline)
36,153,1001,0.15284715284715283,GRU (baseline)
37,215,514,0.4182879377431907,GRU (baseline)
38,118,592,0.19932432432432431,GRU (baseline)
39,211,666,0.31681681681681684,GRU (baseline)
40,158,542,0.2915129151291513,GRU (baseline)
0,93,732,0.12704918032786885,BiLSTM
1,98,916,0.10698689956331878,BiLSTM
2,85,967,0.08790072388831438,BiLSTM
3,80,505,0.15841584158415842,BiLSTM
4,125,484,0.25826446280991733,BiLSTM
5,79,933,0.08467309753483387,BiLSTM
6,111,659,0.16843702579666162,BiLSTM
7,71,628,0.11305732484076433,BiLSTM
8,147,1218,0.1206896551724138,BiLSTM
9,212,1201,0.1765195670274771,BiLSTM
10,51,707,0.07213578500707214,BiLSTM
11,143,589,0.2427843803056027,BiLSTM
12,194,1047,0.18529130850047756,BiLSTM
13,163,1181,0.1380186282811177,BiLSTM
14,56,227,0.24669603524229075,BiLSTM
15,84,685,0.12262773722627737,BiLSTM
16,208,1132,0.18374558303886926,BiLSTM
17,3,213,0.014084507042253521,BiLSTM
18,6,475,0.01263157894736842,BiLSTM
19,9,371,0.02425876010781671,BiLSTM
20,65,1102,0.05898366606170599,BiLSTM
21,51,740,0.06891891891891892,BiLSTM
22,55,1169,0.04704875962360992,BiLSTM
23,19,593,0.03204047217537943,BiLSTM
24,73,729,0.10013717421124829,BiLSTM
25,99,1124,0.08807829181494661,BiLSTM
26,56,548,0.10218978102189781,BiLSTM
27,115,542,0.21217712177121772,BiLSTM
28,253,1237,0.20452708164915118,BiLSTM
29,105,1098,0.09562841530054644,BiLSTM
30,73,517,0.14119922630560927,BiLSTM
31,87,483,0.18012422360248448,BiLSTM
32,293,1167,0.25107112253641817,BiLSTM
33,80,1105,0.07239819004524888,BiLSTM
34,109,1055,0.1033175355450237,BiLSTM
35,225,553,0.40687160940325495,BiLSTM
36,99,1001,0.0989010989010989,BiLSTM
37,201,514,0.39105058365758755,BiLSTM
38,94,592,0.15878378378378377,BiLSTM
39,217,666,0.3258258258258258,BiLSTM
40,139,542,0.2564575645756458,BiLSTM
