phoneme_class,true_tokens,errors_on_true,class_error_rate,model
aspirate,454,95,0.2092511013215859,GRU
affricate,354,68,0.192090395480226,GRU
stop,6270,998,0.15917065390749602,GRU
vowel,12562,1963,0.15626492596720268,GRU
nasal,3277,435,0.13274336283185842,GRU
fricative,5102,554,0.10858486867894943,GRU
liquid,2732,288,0.1054172767203514,GRU
semivowel,1196,99,0.08277591973244147,GRU
affricate,354,71,0.20056497175141244,BiLSTM
aspirate,454,90,0.19823788546255505,BiLSTM
stop,6270,859,0.13700159489633174,BiLSTM
vowel,12562,1615,0.12856233083903837,BiLSTM
nasal,3277,373,0.11382361916386939,BiLSTM
fricative,5102,455,0.08918071344570756,BiLSTM
liquid,2732,237,0.08674963396778916,BiLSTM
semivowel,1196,78,0.06521739130434782,BiLSTM
